TITLE="Graphics"
VARIABLES= "t, s", "T0, K", "Ts, K", "Ti, K", "Ts+1, K", "q_d, W", "q_g, W", "dM, kg/s", "rho, kg/m^3", "u_r, m/s", "p, m/(cell size) ", "inter, m" 
0.063 300.037 307.89 319.136 382.536 286642 286642 0 0.565935 0 1.5 0.0005
0.064 300.041 307.964 319.201 382.565 286446 286446 0 0.565891 0 1.5 0.0005
0.065 300.044 308.038 319.265 382.595 286254 286254 0 0.565847 0 1.5 0.0005
0.066 300.048 308.111 319.329 382.625 286065 286065 0 0.565803 0 1.5 0.0005
0.067 300.053 308.184 319.393 382.655 285880 285880 0 0.565758 0 1.5 0.0005
0.068 300.057 308.257 319.457 382.686 285699 285699 0 0.565713 0 1.5 0.0005
0.069 300.062 308.329 319.52 382.717 285522 285522 0 0.565667 0 1.5 0.0005
0.07 300.067 308.401 319.584 382.748 285348 285348 0 0.56562 0 1.5 0.0005
0.071 300.072 308.472 319.647 382.78 285177 285177 0 0.565574 0 1.5 0.0005
0.072 300.077 308.543 319.71 382.812 285009 285009 0 0.565526 0 1.5 0.0005
0.073 300.083 308.614 319.772 382.844 284845 284845 0 0.565479 0 1.5 0.0005
0.074 300.089 308.685 319.835 382.877 284683 284683 0 0.565431 0 1.5 0.0005
0.075 300.095 308.755 319.897 382.909 284524 284524 0 0.565382 0 1.5 0.0005
0.076 300.102 308.825 319.959 382.942 284368 284368 0 0.565334 0 1.5 0.0005
0.077 300.109 308.895 320.021 382.976 284214 284214 0 0.565285 0 1.5 0.0005
0.078 300.116 308.964 320.083 383.009 284063 284063 0 0.565235 0 1.5 0.0005
0.079 300.124 309.033 320.145 383.043 283915 283915 0 0.565186 0 1.5 0.0005
0.08 300.132 309.102 320.207 383.077 283769 283769 0 0.565136 0 1.5 0.0005
0.081 300.14 309.171 320.268 383.111 283625 283625 0 0.565086 0 1.5 0.0005
0.082 300.148 309.239 320.329 383.145 283484 283484 0 0.565035 0 1.5 0.0005
0.083 300.157 309.307 320.39 383.179 283344 283344 0 0.564985 0 1.5 0.0005
0.084 300.166 309.375 320.451 383.214 283207 283207 0 0.564934 0 1.5 0.0005
0.085 300.176 309.443 320.512 383.248 283072 283072 0 0.564883 0 1.5 0.0005
0.086 300.186 309.51 320.572 383.283 282939 282939 0 0.564831 0 1.5 0.0005
0.087 300.196 309.578 320.633 383.318 282808 282808 0 0.56478 0 1.5 0.0005
0.088 300.206 309.645 320.693 383.353 282678 282678 0 0.564728 0 1.5 0.0005
0.089 300.217 309.711 320.753 383.389 282551 282551 0 0.564676 0 1.5 0.0005
0.09 300.229 309.778 320.813 383.424 282425 282425 0 0.564624 0 1.5 0.0005
