TITLE="Graphics"
VARIABLES= "rj, m", "T, K", "Cp, J/kg*K", "DfCp, J/kg*K^2", "rho, kg/m^3", "Dfrho, kg/m^3*K", "Lambda, Watt/m*K", "DfLambda, Watt/m*K^2"
0 319.073 4181.37 0.105519 980 0 0.638581 0
2.5e-05 319.073 4181.37 0.105519 980 0 0.638581 0
5e-05 320.306 4181.53 0.144432 980 0 0.64014 0
7.5e-05 322.261 4181.87 0.203989 980 0 0.642539 0
0.0001 324.502 4182.4 0.269177 980 0 0.645181 0
0.000125 326.576 4183.02 0.326793 980 0 0.647526 0
0.0001375 327.211 4183.02 0.326793 980 0 0.647526 0
0.00015 371.847 4220.21 1.2555 980 0 0.0240482 8.24796e-05
0.000175 373.646 1891.64 0.427693 0.579399 -0.00155066 0.0241969 8.27641e-05
0.0002 374.926 1892.19 0.430041 0.577421 -0.00154009 0.024303 8.29656e-05
0.000225 375.766 1892.55 0.431566 0.576131 -0.00153322 0.0243727 8.30973e-05
0.00025 376.218 1892.75 0.432383 0.575439 -0.00152954 0.0244102 8.3168e-05
0.000275 376.321 1892.79 0.432569 0.575281 -0.0015287 0.0244188 8.31842e-05
0.0003 376.104 1892.7 0.432179 0.575612 -0.00153046 0.0244008 8.31503e-05
0.000325 375.592 1892.48 0.431251 0.576398 -0.00153464 0.0243582 8.307e-05
0.00035 374.803 1892.14 0.429816 0.577611 -0.0015411 0.0242927 8.29462e-05
0.000375 373.757 1891.69 0.427898 0.579227 -0.00154974 0.0242061 8.27816e-05
0.0004 372.451 4220.97 1.26686 980 0 0.0240981 8.25753e-05
0.000425 -1821.46 -1.5853e+06 2099.87 980 0 -nan(ind) -nan(ind)
0.00045 -480940 -1.53336e+13 9.55624e+07 980 0 -nan(ind) -nan(ind)
0.000475 -9.28675e+07 -1.10104e+20 3.55681e+12 980 0 -nan(ind) -nan(ind)
0.0005 1499.95 2617.12 0.558716 0.144332 -9.62248e-05 0.166426 0.00014587
