TITLE="Graphics"
VARIABLES= "rj, m", "T, K", "Lambda, W/m*K" 
0 nan 0.638581
2.5e-05 nan 0.638581
5e-05 nan 0.64014
7.5e-05 nan 0.642539
0.0001 nan 0.645181
0.000125 nan 0.647526
0.0001375 -nan(ind) 0.647526
0.00015 nan 0.0240482
0.000175 nan 0.0241969
0.0002 nan 0.024303
0.000225 nan 0.0243727
0.00025 nan 0.0244102
0.000275 nan 0.0244188
0.0003 nan 0.0244008
0.000325 nan 0.0243582
0.00035 nan 0.0242927
0.000375 nan 0.0242061
0.0004 nan 0.0240981
0.000425 nan -nan(ind)
0.00045 nan -nan(ind)
0.000475 nan -nan(ind)
0.0005 1499.95 0.166426
