TITLE="Graphics"
VARIABLES= "k", "F", "q_g, W/cm^2",  "q_d, W/cm^2" "qs_g, W/cm^2", "qs_d, W/cm^2",
8858 3.89947e+06 25.2117 25.2171 25.2171 24.214 
8961 3.06114e+06 25.2117 25.2146 25.2146 24.214 
9064 2.66805e+06 25.2118 25.2097 25.2097 24.214 
9167 2.48743e+06 25.2116 25.1998 25.1998 24.214 
9270 2.40832e+06 25.2102 25.1801 25.1801 24.214 
9373 2.3782e+06 25.2048 25.1408 25.1408 24.2136 
9476 2.37192e+06 25.1878 25.062 25.062 24.2117 
9579 2.35982e+06 25.1429 24.9046 24.9046 24.2038 
9682 2.35371e+06 25.0368 24.5918 24.5918 24.1727 
9785 2.35025e+06 24.8061 23.9791 23.9791 24.0581 
9888 2.34697e+06 24.3447 22.8334 22.8334 23.6799 
9991 2.34158e+06 23.5441 20.9273 20.9273 22.6411 
10094 2.34629e+06 24.171 22.4682 22.4682 23.3177 
10197 2.34141e+06 23.7878 21.556 21.556 22.7988 
10300 2.3343e+06 23.1119 19.982 19.982 22.0011 
10403 2.3031e+06 23.6473 21.2443 21.2443 22.6482 
10506 2.2982e+06 23.319 20.4712 20.4712 22.259 
10609 2.29089e+06 22.7281 19.0811 19.0811 21.5826 
10712 2.27745e+06 23.1924 20.1742 20.1742 22.1225 
10815 2.27285e+06 22.9036 19.4885 19.4885 21.7914 
10918 2.26601e+06 22.3686 18.2268 18.2268 21.2018 
11021 2.25149e+06 22.7823 19.2113 19.2113 21.667 
11124 2.24712e+06 22.5356 18.5836 18.5836 21.3778 
11227 5.00801e+06 22.0385 17.3998 17.3998 10.7764 
11330 2.20309e+06 22.4152 18.3104 18.3104 21.2637 
11433 5.12706e+06 22.1736 17.7234 17.7234 10.8551 
11536 2.07125e+06 21.9306 17.2222 17.2222 18.2578 
11639 2.07346e+06 22.1002 17.663 17.663 18.7856 
11742 2.07031e+06 21.9921 17.341 17.341 18.5236 
11845 2.06586e+06 21.7212 16.7108 16.7108 17.8111 
11948 2.06965e+06 21.9115 17.1822 17.1822 18.3134 
12051 2.09298e+06 21.7839 16.8716 16.8716 17.982 
12154 2.08879e+06 21.5398 16.2776 16.2776 17.3488 
12257 2.09254e+06 21.7255 16.7305 16.7305 17.8317 
12360 2.08995e+06 21.6067 16.437 16.437 17.5191 
12463 2.08618e+06 21.3758 15.8886 15.8886 16.9249 
12566 2.08968e+06 21.5491 16.3156 16.3156 17.3799 
12669 2.08726e+06 21.4574 16.0343 16.0343 17.1068 
12772 2.0838e+06 21.2347 15.5091 15.5091 16.5291 
12875 2.08709e+06 21.3959 15.9129 15.9129 16.9596 
12978 2.11041e+06 21.2922 15.6529 15.6529 16.6823 
13081 2.132e+06 21.0933 15.1592 15.1592 16.1564 
13184 2.13513e+06 21.2452 15.5376 15.5376 16.5596 
13287 2.15701e+06 21.1474 15.2931 15.2931 16.2988 
13390 2.17747e+06 20.9554 14.8362 14.8362 15.8023 
13493 2.18043e+06 21.0982 15.193 15.193 16.1823 
13596 2.17831e+06 21.0263 14.956 14.956 15.9577 
13699 2.17552e+06 20.8364 14.512 14.512 15.4657 
13802 2.17841e+06 20.9712 14.8527 14.8527 15.8288 
13905 2.19914e+06 20.8839 14.6325 14.6325 15.5941 
14008 2.21864e+06 20.7157 14.2114 14.2114 15.1454 
14111 2.2214e+06 20.8438 14.5332 14.5332 15.4884 
14214 2.24092e+06 20.7553 14.3339 14.3339 15.2656 
14317 2.23858e+06 20.6189 13.9238 13.9238 14.8565 
14420 2.2412e+06 20.7289 14.2343 14.2343 15.1734 
14523 2.26023e+06 20.6459 14.0335 14.0335 14.9557 
14626 2.27832e+06 20.4934 13.6489 13.6489 14.5453 
14729 2.28086e+06 20.6095 13.9427 13.9427 14.8583 
14832 2.29882e+06 20.5342 13.7518 13.7518 14.6547 
14935 2.31603e+06 20.3889 13.3842 13.3842 14.2631 
15038 2.31847e+06 20.4996 13.6642 13.6642 14.5616 
15141 2.33545e+06 20.4213 13.4915 13.4915 14.3669 
15244 2.33355e+06 20.3071 13.1301 13.1301 14.0096 
15347 2.33592e+06 20.4006 13.4028 13.4028 14.2863 
15450 2.35256e+06 20.3267 13.2258 13.2258 14.0946 
15553 2.36848e+06 20.1926 12.8856 12.8856 13.7311 
15656 2.3708e+06 20.2946 13.1451 13.1451 14.0075 
15759 2.38658e+06 20.2288 12.9761 12.9761 13.8273 
15862 2.40176e+06 20.0933 12.659 12.659 13.4792 
15965 2.40401e+06 20.1912 12.9078 12.9078 13.744 
16068 2.4025e+06 20.1514 12.739 12.739 13.5939 
16171 2.40096e+06 20.0136 12.4219 12.4219 13.2361 
16274 2.40313e+06 20.1066 12.6643 12.6643 13.4945 
16377 2.41811e+06 20.045 12.5066 12.5066 13.3264 
16480 2.43276e+06 19.9257 12.2017 12.2017 13.0016 
16583 2.43489e+06 20.0162 12.4337 12.4337 13.2487 
16686 2.44912e+06 19.957 12.2821 12.2821 13.0871 
16789 2.46313e+06 19.8357 11.9977 11.9977 12.7737 
16892 2.461e+06 19.6491 11.4308 11.4308 12.192 
16995 2.46285e+06 19.8005 11.8633 11.8633 12.6416 
17098 2.4663e+06 19.8383 11.9714 11.9714 12.754 
17201 2.47916e+06 19.8027 11.8993 11.8993 12.6832 
17304 2.47779e+06 19.753 11.7586 11.7586 12.5286 
17407 2.48113e+06 19.7939 11.865 11.865 12.642 
17510 2.4935e+06 19.767 11.7949 11.7949 12.5672 
17613 2.50646e+06 19.7138 11.6569 11.6569 12.4202 
17716 2.51932e+06 19.6028 11.3987 11.3987 12.1346 
17819 2.52127e+06 19.6816 11.6023 11.6023 12.3514 
17922 2.51995e+06 19.6553 11.4626 11.4626 12.2323 
18025 2.51885e+06 19.5396 11.2005 11.2005 11.9332 
18128 2.53123e+06 19.3383 10.7144 10.7144 11.4051 
